x,y,s1,s2,s3,s4,s5
0,0,-51.6,-55.4,-53.6,-45.0,N/A
0,1,-54.2,-59.2,-53.0,-50.2,N/A
0,2,-53.6,-62.2,-53.8,-47.8,N/A
0,3,-42.2,-51.0,-53.4,-50.0,N/A
0,4,-54.6,-51.6,-53.0,-45.2,N/A
0,5,-49.8,-59.2,-52.8,-48.2,N/A
0,6,-42.0,-58.4,-57.0,-43.0,N/A
0,7,-43.4,-54.8,-50.2,-46.6,N/A
0,8,-37.4,-62.8,-45.8,-41.2,N/A
0,9,-38.0,-53.2,-51.0,-44.6,N/A
1,9,-44.4,-52.2,-40.4,-43.0,N/A
1,8,-43.4,-58.8,-42.6,-50.8,N/A
1,7,-52.8,-50.8,-43.4,-46.6,N/A
1,6,-47.4,-50.2,-39.2,-43.2,N/A
1,5,-46.8,-46.2,-44.2,-42.0,N/A
1,4,-45.2,-52.4,-40.0,-37.6,N/A
1,3,-53.0,-50.2,-43.8,-33.2,N/A
1,2,-47.2,-53.0,-41.8,-32.6,N/A
1,1,-41.2,-61.2,-39.8,-30.0,N/A
1,0,-37.0,-50.8,-44.8,-38.0,N/A
2,0,-46.2,-52.6,-51.8,-38.6,N/A
2,1,-47.2,-53.0,-41.8,-39.8,N/A
